Id,DateVac,State,Lga,Ward,OPVvialsRced,OPVVialsused,DPTvials recd,DPTvials Used,HepBvials recd,HepBvials Used,Measlesvials Recd,MeaslesvialsUsed,MESDiluentsRecd,MESDiluentsUsed,Yellowvials recd,Yellowvials Used,YFDiluentsRecd,YFDiluentsUsed,TTvials recd,TTvials Used,ADsyringeRecd,ADsyringeUsed,ReconsyringeRecd,ReconsyringeUsed,AEFI,uniqvac,IsmainRnd,IPVVials Rced,IPVVials Used,PCVvials recd,PCVvials Used
4961,1-Feb-17,Bauchi,Dass,Baraza,200,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassBaraza01/02/2017-1,TRUE,,,,
4962,1-Feb-17,Bauchi,Dass,Bagel,195,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassBagel01/02/2017-1,TRUE,,,,
4963,1-Feb-17,Bauchi,Darazo,Yautare,220,220,7,7,0,0,4,4,4,4,4,4,4,4,1,1,210,198,10,10,0,BauchiDarazoYautare01/02/2017-1,TRUE,,,,
4964,1-Feb-17,Bauchi,Gamawa,Kubdiya,511,511,4,0,0,2,2,2,2,2,2,2,2,3,3,145,104,4,4,0,0,BauchiGamawaKubdiya01/02/2017-1,TRUE,,,,
4965,1-Feb-17,Bauchi,Dass,Wandi,175,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiDassWandi01/02/2017-1,TRUE,,,,
4966,1-Feb-17,Bauchi,Bauchi,Liman Katagum,705,705,5,5,0,0,8,8,8,8,8,8,8,8,3,3,219,219,22,22,0,BauchiBauchiLiman Katagum01/02/2017-1,TRUE,,,,
4967,1-Feb-17,Bauchi,Kirfi,Dewu,248,248,3,3,0,0,3,3,3,3,3,3,3,3,0,0,94,73,6,6,0,BauchiKirfiDewu01/02/2017-1,TRUE,,,,
4968,1-Feb-17,Bauchi,Bogoro,Boi,384,383,2,2,0,0,1,1,1,1,1,1,1,1,2,2,80,65,2,2,0,BauchiBogoroBoi01/02/2017-1,TRUE,,,,
4969,1-Feb-17,Bauchi,Bogoro,Bogoro,382,379,6,6,0,0,6,6,6,6,6,6,6,6,5,5,220,116,12,12,0,BauchiBogoroBogoro01/02/2017-1,TRUE,,,,
4970,1-Feb-17,Bauchi,Bogoro,Bar,156,152,3,3,1,1,1,1,1,1,1,1,1,1,0,0,70,51,2,2,0,BauchiBogoroBar01/02/2017-1,TRUE,,,,
4971,1-Feb-17,Bauchi,Bogoro,Badagari,215,215,3,3,1,1,1,1,1,1,1,1,1,1,3,3,90,53,2,2,0,BauchiBogoroBadagari01/02/2017-1,TRUE,,,,
4972,1-Feb-17,Bauchi,Bauchi,Zungur,457,457,10,10,2,2,10,10,10,10,10,10,10,10,2,2,290,271,31,28,0,BauchiBauchiZungur01/02/2017-1,TRUE,,,,
4973,1-Feb-17,Bauchi,Bauchi,Yamrat,367,367,5,5,3,3,5,5,5,5,5,5,5,5,4,4,176,158,19,18,0,BauchiBauchiYamrat01/02/2017-1,TRUE,,,,
4974,1-Feb-17,Bauchi,Bauchi,Tirwun,1280,1280,6,6,0,0,5,5,5,5,5,5,5,5,1,1,193,174,21,18,0,BauchiBauchiTirwun01/02/2017-1,TRUE,,,,
4975,1-Feb-17,Bauchi,Bauchi,Mun Munsal,458,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiBauchiMun Munsal01/02/2017-1,TRUE,,,,
4976,1-Feb-17,Bauchi,Bauchi,Miri,629,629,5,5,0,0,4,4,4,4,4,4,4,4,0,0,148,126,14,12,0,BauchiBauchiMiri01/02/2017-1,TRUE,,,,
4977,1-Feb-17,Bauchi,Bogoro,Dazara,158,158,4,4,0,0,3,3,3,3,3,3,3,3,4,4,130,51,6,6,0,BauchiBogoroDazara01/02/2017-1,TRUE,,,,
4978,1-Feb-17,Bauchi,Bauchi,Makama A,900,900,5,5,0,0,5,5,5,5,5,5,5,5,6,6,194,182,16,16,0,BauchiBauchiMakama A01/02/2017-1,TRUE,,,,
4979,1-Feb-17,Bauchi,Bogoro,Dutsen Lawan,342,340,2,2,1,1,1,1,1,1,1,1,1,1,1,1,50,27,2,2,0,BauchiBogoroDutsen Lawan01/02/2017-1,TRUE,,,,
4980,1-Feb-17,Bauchi,Bauchi,Kundun Durun,610,610,4,4,0,0,2,2,2,2,2,2,2,2,0,0,90,79,5,4,0,BauchiBauchiKundun Durun01/02/2017-1,TRUE,,,,
4981,1-Feb-17,Bauchi,Bauchi,Kangere,638,638,7,7,0,0,4,4,4,4,4,4,4,4,4,4,155,145,13,12,0,BauchiBauchiKangere01/02/2017-1,TRUE,,,,
4982,1-Feb-17,Bauchi,Bauchi,Hardo,341,341,2,2,1,1,1,1,1,1,1,1,1,1,0,0,78,66,5,5,0,BauchiBauchiHardo01/02/2017-1,TRUE,,,,
4983,1-Feb-17,Bauchi,Bauchi,Gwaskwaram,298,298,1,1,0,0,1,1,1,1,1,1,1,1,0,0,32,30,3,3,0,BauchiBauchiGwaskwaram01/02/2017-1,TRUE,,,,
4984,1-Feb-17,Bauchi,Bauchi,Galambi,572,572,1,1,0,0,1,1,1,1,1,1,1,1,0,0,18,18,2,2,0,BauchiBauchiGalambi01/02/2017-1,TRUE,,,,
4985,1-Feb-17,Bauchi,Bauchi,Dawaki,1027,1027,5,5,0,0,4,4,4,4,4,4,4,4,0,0,126,122,4,4,0,BauchiBauchiDawaki01/02/2017-1,TRUE,,,,
4986,1-Feb-17,Bauchi,Bauchi,Dankade,649,649,1,1,1,1,3,3,3,3,3,3,3,3,0,0,40,32,2,2,0,BauchiBauchiDankade01/02/2017-1,TRUE,,,,
4987,1-Feb-17,Bauchi,Bauchi,Dan Iya,1464,1464,4,4,0,0,2,2,2,2,2,2,2,2,2,2,90,85,6,6,0,BauchiBauchiDan Iya01/02/2017-1,TRUE,,,,
4988,1-Feb-17,Bauchi,Bauchi,Dan Dango,312,312,3,3,0,0,7,7,7,7,7,7,7,7,0,0,130,130,15,15,0,BauchiBauchiDan Dango01/02/2017-1,TRUE,,,,
4989,1-Feb-17,Bauchi,Bauchi,Dan Amar B,1220,1220,3,3,0,0,2,2,2,2,2,2,2,2,0,0,75,62,5,5,0,BauchiBauchiDan Amar B01/02/2017-1,TRUE,,,,
4990,1-Feb-17,Bauchi,Bauchi,Makama B,875,875,4,4,0,0,3,3,3,3,3,3,3,3,3,3,155,112,14,11,0,BauchiBauchiMakama B01/02/2017-1,TRUE,,,,
4991,1-Feb-17,Bauchi,Damban,Fagarau,121,121,4,4,0,0,4,4,4,4,4,4,4,4,0,0,95,90,12,12,0,BauchiDambanFagarau01/02/2017-1,TRUE,,,,
4992,1-Feb-17,Bauchi,Darazo,Darazo East,642,639,4,4,0,0,4,4,4,4,4,4,4,4,0,0,160,149,8,8,0,BauchiDarazoDarazo East01/02/2017-1,TRUE,,,,
4993,1-Feb-17,Bauchi,Damban,Zaura,267,267,0,0,0,0,4,4,4,4,0,0,0,0,0,0,36,36,0,0,0,BauchiDambanZaura01/02/2017-1,TRUE,,,,
4994,1-Feb-17,Bauchi,Damban,Yayari,200,200,4,4,0,0,3,3,3,3,3,3,3,3,0,0,90,89,15,12,0,BauchiDambanYayari01/02/2017-1,TRUE,,,,
4995,1-Feb-17,Bauchi,Damban,Yanda,246,246,5,5,0,0,2,2,2,2,2,2,2,2,4,4,102,102,13,13,0,BauchiDambanYanda01/02/2017-1,TRUE,,,,
4996,1-Feb-17,Bauchi,Damban,Yame,154,154,4,4,1,1,2,2,2,2,2,2,2,2,2,2,90,89,12,12,0,BauchiDambanYame01/02/2017-1,TRUE,,,,
4997,1-Feb-17,Bauchi,Damban,Muzuwa,128,128,1,1,0,0,1,1,1,1,1,1,1,1,0,0,14,14,4,3,0,BauchiDambanMuzuwa01/02/2017-1,TRUE,,,,
4998,1-Feb-17,Bauchi,Damban,Minchika,154,154,2,2,0,0,1,1,1,1,2,2,2,2,1,1,47,47,6,6,0,BauchiDambanMinchika01/02/2017-1,TRUE,,,,
4999,1-Feb-17,Bauchi,Damban,Janda,177,177,7,7,0,0,3,3,3,3,2,2,2,2,2,2,117,117,12,11,0,BauchiDambanJanda01/02/2017-1,TRUE,,,,
5000,1-Feb-17,Bauchi,Damban,Jalam,206,206,2,2,1,1,0,0,0,0,0,0,0,0,4,4,45,45,7,7,0,BauchiDambanJalam01/02/2017-1,TRUE,,,,
5001,1-Feb-17,Bauchi,Damban,Guribana,202,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,38,4,4,0,BauchiDambanGurbana01/02/2017-1,TRUE,,,,
5002,1-Feb-17,Bauchi,Bogoro,Bugun,109,109,3,3,0,0,0,0,0,0,0,0,0,0,2,2,40,28,0,0,0,BauchiBogoroBugun01/02/2017-1,TRUE,,,,
5003,1-Feb-17,Bauchi,Damban,Gargawa,259,259,4,4,1,1,6,6,6,6,6,6,6,6,3,3,156,156,20,20,0,BauchiDambanGargawa01/02/2017-1,TRUE,,,,
5004,1-Feb-17,Bauchi,Alkaleri,Yuli,440,440,7,7,1,1,4,4,4,4,4,4,4,4,3,3,210,161,8,8,0,BauchiAlkaleriYuli01/02/2017-1,TRUE,,,,
5005,1-Feb-17,Bauchi,Damban,Fagam,169,169,2,2,1,1,1,1,1,1,1,1,1,1,2,2,41,41,7,7,0,BauchiDambanFagam01/02/2017-1,TRUE,,,,
5006,1-Feb-17,Bauchi,Damban,Dambam B,203,203,0,0,0,0,1,1,1,1,1,1,1,1,3,3,40,40,5,5,0,BauchiDambanDambam B01/02/2017-1,TRUE,,,,
5007,1-Feb-17,Bauchi,Damban,Dambam A,233,233,1,1,1,1,0,0,0,0,0,0,0,0,2,2,19,19,3,3,0,BauchiDambanDambam A01/02/2017-1,TRUE,,,,
5008,1-Feb-17,Bauchi,Damban,Dagauda,251,251,0,0,0,0,19,15,19,15,9,0,9,0,0,0,45,45,5,5,0,BauchiDambanDagauda01/02/2017-1,TRUE,,,,
5009,1-Feb-17,Bauchi,Bogoro,Project,240,235,8,8,0,0,8,8,8,8,8,8,8,8,8,8,320,222,16,16,0,BauchiBogoroProject01/02/2017-1,TRUE,,,,
5010,1-Feb-17,Bauchi,Bogoro,Mwari,161,161,5,5,1,1,3,3,3,3,3,3,3,3,3,3,160,92,6,6,0,BauchiBogoroMwari01/02/2017-1,TRUE,,,,
5011,1-Feb-17,Bauchi,Bogoro,Lusa,313,311,8,8,0,0,7,7,7,7,7,7,7,7,0,0,220,121,14,14,0,BauchiBogoroLusa01/02/2017-1,TRUE,,,,
5012,1-Feb-17,Bauchi,Bogoro,Gyara,156,156,3,3,0,0,2,2,2,2,2,2,2,2,1,1,70,45,4,4,0,BauchiBogoroGyara01/02/2017-1,TRUE,,,,
5013,1-Feb-17,Bauchi,Bogoro,Gobbiya,272,256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,35,2,2,0,BauchiBogoroGobbiya01/02/2017-1,TRUE,,,,
5014,1-Feb-17,Bauchi,Bogoro,Gambar,269,268,4,4,0,0,2,2,2,2,2,2,2,2,3,3,130,80,4,4,0,BauchiBogoroGambar01/02/2017-1,TRUE,,,,
5015,1-Feb-17,Bauchi,Damban,Garuza,198,198,1,1,0,0,0,0,0,0,0,0,0,0,1,1,12,12,3,2,0,BauchiDambanGaruza01/02/2017-1,TRUE,,,,
5016,1-Feb-17,Bauchi,Giade,Chinkani,221,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeChinkani01/02/2017-1,TRUE,,,,
5017,1-Feb-17,Bauchi,Giade,Zirami,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeZirami01/02/2017-1,TRUE,,,,
5018,1-Feb-17,Bauchi,Giade,Zabi,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeZabi01/02/2017-1,TRUE,,,,
5019,1-Feb-17,Bauchi,Giade,Uzum,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeUzum01/02/2017-1,TRUE,,,,
5020,1-Feb-17,Bauchi,Giade,Sabon Sara B,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeSabon Sara B01/02/2017-1,TRUE,,,,
5021,1-Feb-17,Bauchi,Giade,Sabon Sara A,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeSabon Sara A01/02/2017-1,TRUE,,,,
5022,1-Feb-17,Bauchi,Giade,Kurba,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeKurba01/02/2017-1,TRUE,,,,
5023,1-Feb-17,Bauchi,Giade,Jugudu,187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeJugudu01/02/2017-1,TRUE,,,,
5024,1-Feb-17,Bauchi,Giade,Isawa,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeIsawa01/02/2017-1,TRUE,,,,
5025,1-Feb-17,Bauchi,Giade,Giade B,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeGiade B01/02/2017-1,TRUE,,,,
5026,1-Feb-17,Bauchi,Giade,Giade A,297,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeGiade A01/02/2017-1,TRUE,,,,
5027,1-Feb-17,Bauchi,Bauchi,Dan Amar A,761,761,5,5,0,0,2,2,2,2,2,2,2,2,0,0,105,99,7,7,0,BauchiBauchiDan Amar A01/02/2017-1,TRUE,,,,
5028,1-Feb-17,Bauchi,Giade,Doguwa,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeDoguwa01/02/2017-1,TRUE,,,,
5029,1-Feb-17,Bauchi,Itas/Gadau,Bambal,313,313,2,2,0,0,1,1,1,1,1,1,1,1,2,2,80,65,2,2,0,BauchiItas/GadauBambal01/02/2017-1,TRUE,,,,
5030,1-Feb-17,Bauchi,Ganjuwa,Yali,260,260,5,5,1,1,2,2,2,2,2,2,2,2,3,3,130,118,4,4,0,BauchiGanjuwaYali01/02/2017-1,TRUE,,,,
5031,1-Feb-17,Bauchi,Ganjuwa,Nassarawa B,304,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGanjuwaNassarawa B01/02/2017-1,TRUE,,,,
5032,1-Feb-17,Bauchi,Ganjuwa,Nassarawa A,327,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGanjuwaNassarawa A01/02/2017-1,TRUE,,,,
5033,1-Feb-17,Bauchi,Ganjuwa,Miya C,324,324,2,2,1,1,2,2,2,2,2,2,2,2,2,2,90,83,4,4,0,BauchiGanjuwaMiya C01/02/2017-1,TRUE,,,,
5034,1-Feb-17,Bauchi,Ganjuwa,Miya B,369,369,3,3,1,1,1,1,1,1,1,1,1,1,4,4,100,92,2,2,0,BauchiGanjuwaMiya B01/02/2017-1,TRUE,,,,
5035,1-Feb-17,Bauchi,Alkaleri,Kungibar,250,250,13,13,8,8,9,9,9,9,9,9,9,9,2,2,430,353,18,18,0,BauchiAlkaleriKungibar01/02/2017-1,TRUE,,,,
5036,1-Feb-17,Bauchi,Alkaleri,Gwaram B,258,236,9,7,0,0,6,3,6,3,6,3,6,3,0,0,340,111,12,8,0,BauchiAlkaleriGwaram B01/02/2017-1,TRUE,,,,
5037,1-Feb-17,Bauchi,Alkaleri,Gwaram A,327,327,9,9,1,1,8,8,8,8,8,8,8,8,2,2,270,261,16,16,0,BauchiAlkaleriGwaram A01/02/2017-1,TRUE,,,,
